ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,City,Event,Medal
84948,Phumlile Ndzinisa,F,23.0,170.0,57.0,Swaziland,SWZ,2016 Summer,2016,Rio de Janeiro,Athletics Women's 100 metres,0
84951,Mihaela Silvia Neacu (Stancescu-),F,29.0,170.0,56.0,Romania,ROU,2008 Summer,2008,Beijing,Athletics Women's 800 metres,0
84966,McClinton Earl Neal,M,24.0,193.0,88.0,United States,USA,1992 Summer,1992,Barcelona,Athletics Men's 400 metres Hurdles,0
84994,Larysa Nechyporuk (Teteriuk-),F,29.0,171.0,59.0,Ukraine,UKR,2000 Summer,2000,Sydney,Athletics Women's Heptathlon,0
84998,Karl Neckermann,M,25.0,177.0,70.0,Germany,GER,1936 Summer,1936,Berlin,Athletics Men's 200 metres,0
85022,Ekaterina Nedeva,F,25.0,162.0,62.0,Bulgaria,BUL,1976 Summer,1976,Montreal,Athletics Women's Long Jump,0
85022,Ekaterina Nedeva,F,29.0,162.0,62.0,Bulgaria,BUL,1980 Summer,1980,Moskva,Athletics Women's Long Jump,0
85023,Dereje Nedi,M,26.0,175.0,55.0,Ethiopia,ETH,1980 Summer,1980,Moskva,Athletics Men's Marathon,0
85027,Karel Nedobit,M,18.0,160.0,53.0,Czechoslovakia,TCH,1924 Summer,1924,Paris,"Athletics Men's 5,000 metres",0
85027,Karel Nedobit,M,22.0,160.0,53.0,Czechoslovakia,TCH,1928 Summer,1928,Amsterdam,"Athletics Men's 5,000 metres",0
85027,Karel Nedobit,M,22.0,160.0,53.0,Czechoslovakia,TCH,1928 Summer,1928,Amsterdam,"Athletics Men's 10,000 metres",0
85030,"Timothy ""Tim"" Nedow",M,25.0,195.0,140.0,Canada,CAN,2016 Summer,2016,Rio de Janeiro,Athletics Men's Shot Put,0
85051,Penny Lou Neer,F,31.0,183.0,75.0,United States,USA,1992 Summer,1992,Barcelona,Athletics Women's Discus Throw,0
85059,Vera Neferovi,F,29.0,178.0,75.0,Yugoslavia,YUG,1936 Summer,1936,Berlin,Athletics Women's Discus Throw,0
85060,Jean-Marie Neff,M,26.0,183.0,70.0,France,FRA,1988 Summer,1988,Seoul,Athletics Men's 50 kilometres Walk,0
85071,Tena Negere,M,19.0,170.0,55.0,Ethiopia,ETH,1992 Summer,1992,Barcelona,Athletics Men's Marathon,0
85078,Roba Negousse,M,20.0,168.0,61.0,Ethiopia,ETH,1956 Summer,1956,Melbourne,Athletics Men's 100 metres,0
85078,Roba Negousse,M,20.0,168.0,61.0,Ethiopia,ETH,1956 Summer,1956,Melbourne,Athletics Men's 200 metres,0
85078,Roba Negousse,M,20.0,168.0,61.0,Ethiopia,ETH,1956 Summer,1956,Melbourne,Athletics Men's 4 x 100 metres Relay,0
85078,Roba Negousse,M,23.0,168.0,61.0,Ethiopia,ETH,1960 Summer,1960,Roma,Athletics Men's 100 metres,0
85087,Fidel Negrete Gamboa,M,32.0,167.0,58.0,Mexico,MEX,1964 Summer,1964,Tokyo,Athletics Men's Marathon,0
85103,Iulia Negur (-Olteanu),F,29.0,166.0,58.0,Romania,ROU,1996 Summer,1996,Atlanta,"Athletics Women's 10,000 metres",0
85104,Abebech Negussie,F,17.0,155.0,42.0,Ethiopia,ETH,2000 Summer,2000,Sydney,"Athletics Women's 1,500 metres",0
85105,Hailu Negussie,M,26.0,170.0,60.0,Ethiopia,ETH,2004 Summer,2004,Athina,Athletics Men's Marathon,0
85117,Doris Anita Neil,F,18.0,163.0,55.0,Great Britain,GBR,1968 Summer,1968,Mexico City,Athletics Women's 100 metres,0
85117,Doris Anita Neil,F,18.0,163.0,55.0,Great Britain,GBR,1968 Summer,1968,Mexico City,Athletics Women's 4 x 100 metres Relay,0
85117,Doris Anita Neil,F,22.0,163.0,55.0,Great Britain,GBR,1972 Summer,1972,Munich,Athletics Women's 100 metres,0
85117,Doris Anita Neil,F,22.0,163.0,55.0,Great Britain,GBR,1972 Summer,1972,Munich,Athletics Women's 4 x 100 metres Relay,0
85133,Kathrin Neimke,F,22.0,180.0,91.0,East Germany,GDR,1988 Summer,1988,Seoul,Athletics Women's Shot Put,Silver
85133,Kathrin Neimke,F,26.0,180.0,91.0,Germany,GER,1992 Summer,1992,Barcelona,Athletics Women's Shot Put,Bronze
85133,Kathrin Neimke,F,30.0,180.0,91.0,Germany,GER,1996 Summer,1996,Atlanta,Athletics Women's Shot Put,0
85137,Jos Gregorio Neira Carvajal,M,25.0,178.0,62.0,Colombia,COL,1964 Summer,1964,Tokyo,Athletics Men's 800 metres,0
